Designator,Mid X,Mid Y,Layer,Rotation
J1,5.000mm,52.500mm,Top,0
D1,15.500mm,57.500mm,Top,180
D2,16.000mm,51.500mm,Top,90
U1,22.500mm,50.500mm,Top,0
L1,22.500mm,42.500mm,Top,0
FB1,34.000mm,52.000mm,Top,90
U2,35.500mm,45.000mm,Top,180
Q1,13.500mm,21.000mm,Top,0
Q2,5.500mm,21.000mm,Top,0
D11,23.200mm,20.600mm,Top,180
D21,29.000mm,20.600mm,Top,0
D31,22.400mm,17.600mm,Top,90
D41,26.600mm,14.400mm,Top,0
Q11,29.600mm,17.400mm,Top,0
Q21,22.600mm,11.400mm,Top,180
D12,35.700mm,20.600mm,Top,180
D22,41.500mm,20.600mm,Top,0
D32,34.900mm,17.600mm,Top,90
D42,39.100mm,14.400mm,Top,0
Q12,42.100mm,17.400mm,Top,0
Q22,35.100mm,11.400mm,Top,180
D13,57.200mm,20.600mm,Top,180
D23,63.000mm,20.600mm,Top,0
D33,56.400mm,17.600mm,Top,90
D43,60.600mm,14.400mm,Top,0
Q13,63.600mm,17.400mm,Top,0
Q23,56.600mm,11.400mm,Top,180
D14,69.700mm,20.600mm,Top,180
D24,75.500mm,20.600mm,Top,0
D34,68.900mm,17.600mm,Top,90
D44,73.100mm,14.400mm,Top,0
Q14,76.100mm,17.400mm,Top,0
Q24,69.100mm,11.400mm,Top,180
U3,48.500mm,20.000mm,Top,90
U4,54.000mm,36.000mm,Top,0
U5,66.500mm,30.500mm,Top,180
U6,89.000mm,33.500mm,Top,0
D3,92.000mm,49.500mm,Top,90
U7,13.500mm,34.500mm,Top,270
U8,80.000mm,51.000mm,Top,0
