Designator,Mid X,Mid Y,Layer,Rotation
U1,38.000mm,40.000mm,Top,0
SW1,14.000mm,34.000mm,Top,0
SW2,14.000mm,44.000mm,Top,0
J5,5.600mm,56.000mm,Top,90
U9,18.000mm,56.000mm,Top,0
U2,88.700mm,58.750mm,Top,0
L1,111.800mm,65.850mm,Top,0
U3,94.300mm,58.750mm,Top,0
U4,64.050mm,27.100mm,Top,90
FB1,68.150mm,27.100mm,Top,90
U8,69.500mm,64.700mm,Top,0
J1,16.000mm,74.600mm,Top,180
J2,38.000mm,74.600mm,Top,180
J3,60.000mm,74.600mm,Top,180
J4,82.000mm,74.600mm,Top,180
U6,62.300mm,64.700mm,Top,0
Q1,74.920mm,64.700mm,Top,0
Q2,80.210mm,64.700mm,Top,0
U7,64.000mm,50.000mm,Top,0
U5,113.250mm,11.500mm,Top,270
SW3,70.000mm,5.000mm,Top,0
SW4,58.000mm,5.000mm,Top,0
Q3,46.970mm,17.650mm,Top,0
D1,40.100mm,17.650mm,Top,0
D2,61.520mm,17.650mm,Top,0
D3,65.930mm,17.650mm,Top,0
D4,70.340mm,17.650mm,Top,0
D5,38.080mm,13.720mm,Top,0
SW5,14.000mm,24.000mm,Top,0
D6,52.260mm,17.650mm,Top,0
